epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,1727.58,0.33111,0.33609,0.18182,0.00153,0.14361,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000454844,0.000454844,0.000454844
57,1757.85,0.33008,0.33741,0.17898,0.00154,0.1384,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00045175,0.00045175,0.00045175
58,1788.25,0.33366,0.33043,0.18452,0.00158,0.13147,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000448656,0.000448656,0.000448656
59,1818.67,0.32623,0.33262,0.1781,0.00156,0.13189,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000445562,0.000445562,0.000445562
60,1848.97,0.32465,0.34219,0.17865,0.00151,0.14364,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000442469,0.000442469,0.000442469
61,1879.35,0.32293,0.33188,0.1743,0.00152,0.13279,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000439375,0.000439375,0.000439375
62,1909.71,0.32905,0.34679,0.17918,0.00153,0.13281,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000436281,0.000436281,0.000436281
63,1939.99,0.32123,0.33451,0.17707,0.0015,0.13427,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000433187,0.000433187,0.000433187
64,1970.33,0.32498,0.33336,0.17869,0.00151,0.13164,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000430094,0.000430094,0.000430094
65,2000.68,0.32657,0.33708,0.17549,0.00155,0.132,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000427,0.000427,0.000427
66,2031.01,0.31939,0.33258,0.16975,0.00154,0.11598,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000423906,0.000423906,0.000423906
67,2061.3,0.31965,0.32981,0.16936,0.00149,0.11975,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000420812,0.000420812,0.000420812
68,2091.68,0.31544,0.33167,0.17303,0.00149,0.13193,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000417719,0.000417719,0.000417719
69,2122.06,0.3179,0.32949,0.1646,0.00148,0.12763,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000414625,0.000414625,0.000414625
